player_id,season,week,rush_attempt,rec_attempt,pass_attempt,rec_air_yards,lag_yards_per_rush_attempt,lag_yards_per_target,lag_yards_per_pass_attempt,lag_yards_per_rush_attempt_shrunk,lag_yards_per_target_shrunk,lag_yards_per_pass_attempt_shrunk,lag_avg_depth_of_target_shrunk,lag_rec_air_yards
00-0040179,2025,5.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,4.199253208839066,7.6849935122666215,7.0964572513420325,8.102917677872023,0.0
00-0040179,2025,18.0,8.0,0.0,0.0,0.0,4.4,0.0,0.0,4.287091323185929,7.646759713698131,7.0964572513420325,6.544415006080601,0.0
00-0040184,2025,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040184,2025,6.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,4.258976728496787,7.646759713698131,7.0964572513420325,12.31456867324971,30.0
00-0040184,2025,9.0,0.0,1.0,0.0,48.0,0.0,0.5,0.0,4.258976728496787,7.613854962640219,7.0964572513420325,8.23102593474528,17.0
00-0040184,2025,15.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,4.258976728496787,7.646759713698131,7.0964572513420325,15.776660873551176,48.0
00-0040184,2025,16.0,0.0,1.0,0.0,4.0,0.0,16.0,0.0,4.258976728496787,7.726361703747882,7.0964572513420325,9.621830295237459,16.0
00-0040184,2025,17.0,0.0,1.0,0.0,12.0,0.0,10.0,0.0,4.258976728496787,7.696510957479226,7.0964572513420325,7.313768828369815,4.0
00-0040184,2025,18.0,0.0,5.0,0.0,84.0,0.0,0.0,0.0,4.258976728496787,7.646759713698131,7.0964572513420325,8.852476472948243,12.0
00-0040187,2025,2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040187,2025,3.0,0.0,1.0,0.0,7.0,0.0,9.0,0.0,4.258976728496787,7.691535833101116,7.0964572513420325,7.506107283942119,5.0
00-0040187,2025,4.0,0.0,4.0,0.0,4.0,0.0,9.0,0.0,4.258976728496787,7.691535833101116,7.0964572513420325,7.890784195086726,7.0
00-0040187,2025,5.0,0.0,1.0,0.0,2.0,0.0,5.75,0.0,4.258976728496787,7.647052463006491,7.0964572513420325,4.63772832067952,4.0
00-0040187,2025,6.0,0.0,1.0,0.0,17.0,0.0,4.0,0.0,4.258976728496787,7.666660211210569,7.0964572513420325,6.929091917225208,2.0
00-0040187,2025,7.0,0.0,3.0,0.0,11.0,0.0,21.0,0.0,4.258976728496787,7.75123732563843,7.0964572513420325,9.814168750809763,17.0
00-0040187,2025,10.0,0.0,1.0,0.0,11.0,0.0,8.0,0.0,4.258976728496787,7.689648780558247,7.0964572513420325,6.254266210171195,11.0
00-0040187,2025,11.0,0.0,2.0,0.0,19.0,0.0,0.0,0.0,4.258976728496787,7.646759713698131,7.0964572513420325,8.66013801737594,11.0
00-0040187,2025,12.0,0.0,1.0,0.0,1.0,0.0,14.0,0.0,4.258976728496787,7.747518328976853,7.0964572513420325,8.553649858637735,19.0
00-0040187,2025,13.0,0.0,3.0,0.0,-3.0,0.0,0.0,0.0,4.258976728496787,7.646759713698131,7.0964572513420325,6.736753461652905,1.0
00-0040187,2025,16.0,0.0,3.0,0.0,14.0,0.0,6.666666666666667,0.0,4.258976728496787,7.669944347060711,7.0964572513420325,4.309597127918377,-3.0
00-0040187,2025,17.0,1.0,2.0,0.0,2.0,0.0,7.666666666666667,0.0,4.258976728496787,7.684722672183863,7.0964572513420325,6.670981013511086,14.0
00-0040187,2025,18.0,0.0,2.0,0.0,1.0,1.0,2.5,0.0,4.104376920332873,7.633656942838239,7.0964572513420325,5.81134650555186,2.0
00-0040187,2025,19.0,0.0,1.0,0.0,-3.0,0.0,2.5,0.0,4.258976728496787,7.633656942838239,7.0964572513420325,5.650034543605632,1.0
00-0040187,2026,1.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,4.258976728496787,7.646759713698131,7.0964572513420325,5.9673996393636894,-3.0
00-0040189,2025,3.0,0.0,7.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
